TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
1,M,1,1,1,3,0,1,,1,,,,,,,4104808,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,436.8,551.8,641.4,555.1,0,1.0,140.0,200.0,120.0,120.0,120.0,E,E,E,D,3,F,A,D,D,C,A,B,B,B,A,B,A,B,B,B,A,C,B,C,B
1,F,1,1,1,3,0,1,,1,,,,,,,4106902,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,531.5,545.8,518.5,412.0,1,1.0,120.0,140.0,100.0,140.0,140.0,F,G,B,D,4,E,A,C,D,B,A,B,A,B,A,B,A,B,B,A,A,C,B,B,B
7,F,1,3,1,1,4,1,,0,,,,,,,4113700,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,440.5,543.4,533.9,577.6,0,1.0,120.0,120.0,120.0,120.0,80.0,D,D,C,B,4,B,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,D,A,B,B
3,M,1,3,1,2,0,2,1.0,0,4113700.0,41.0,PR,2.0,1.0,1.0,4113700,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,597.1,680.0,625.9,575.5,0,1.0,160.0,200.0,180.0,160.0,120.0,C,C,C,C,3,D,A,B,D,A,A,B,B,B,A,B,A,A,C,A,A,D,B,B,B
3,F,1,3,1,1,1,1,,0,,,,,,,4118204,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,511.4,605.5,609.5,477.7,0,1.0,120.0,140.0,120.0,120.0,140.0,B,F,C,D,3,C,A,B,D,A,A,B,A,A,A,B,A,A,B,A,A,C,B,B,B
2,F,1,1,1,2,0,2,1.0,0,4106902.0,41.0,PR,1.0,1.0,1.0,4106902,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,618.6,643.5,635.8,647.9,0,1.0,140.0,180.0,160.0,160.0,160.0,F,F,E,D,4,P,D,D,D,B,B,B,B,B,B,B,A,B,C,A,B,E,B,E,B
12,F,1,1,1,1,15,1,,0,,,,,,,4113205,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,414.5,562.0,578.3,497.2,1,1.0,100.0,120.0,120.0,100.0,60.0,A,B,A,A,3,E,A,B,C,B,B,B,A,A,A,A,A,B,B,A,A,C,A,B,B
9,F,1,1,1,1,6,1,,0,,,,,,,4106902,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,701.0,684.0,656.0,823.2,0,1.0,180.0,200.0,160.0,200.0,180.0,G,G,D,E,3,N,B,C,D,C,A,B,B,B,B,B,B,B,B,B,A,D,A,C,B
3,M,1,1,1,2,0,2,1.0,0,4113700.0,41.0,PR,2.0,1.0,1.0,4113700,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,482.4,548.6,620.1,676.4,0,1.0,140.0,120.0,140.0,120.0,100.0,B,E,B,D,3,H,A,C,D,B,A,B,B,B,B,A,A,A,C,A,A,D,A,C,B
3,F,1,1,1,1,1,1,,0,,,,,,,4118204,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,408.6,563.7,556.9,611.8,0,1.0,100.0,120.0,120.0,120.0,80.0,C,B,C,B,5,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
